Ref_No	Local_Accession_No	Map_Reference	MapArea	MapLong	MapLat	Town_Village	Location	Title	Further_Information	Date_of_Image	Date_Period	Photographer	Artist	Engraver	Publisher	Acknowledged	Form_of_Acknowledgment	Language_single	Format_single	Publishers_single	License_single	Audience_single	Key_Terms	Keywords
NTGM015791	49650	SK5740	brook,street,sneinton	52.95582576	-1.141762733	Nottingham,_Sneinton	Brook Street	Archer GPO Telephone Exchange, Brook Street, Nottingham, 1978	&amp;lt;p&amp;gt;North area of switch-room in the Archer GPO telephone exchange. This exchange was built in 1956 and became operative 23 July 1958.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;Shown on the right is the &amp;amp;#39;800 suite which comprises of twenty operating position. The table in the foreground is the ticket-sorting position. They are filed in the boxes seen on the table, according to the type of call and these are sent to the computer centre at Derby each day for pricing and accounting to the subscribers account. &amp;lt;br /&amp;gt;The table on the left is the clerical table and behind it is the &amp;amp;#39;700&amp;amp;#39; suite (see NTGM015790) and behind the &amp;amp;#39;700&amp;amp;#39; suite are the filing cabinets containing subscribers&amp;amp;#39; details. The &amp;amp;#39;900&amp;amp;#39; suite is in the top corner. &amp;lt;/p&amp;gt;	7 May 1978	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	telephone exchange office equipment desks work GPO switchboard chairs seats general post office communication clocks filing cabinets interior	Workers Work_and_Industry Companies_and_Businesses Offices Buildings_and_Structures 
NTGM015792	49652	SK5740	brook,street,sneinton	52.95582576	-1.141762733	Nottingham,_Sneinton	Brook Street	Archer GPO Telephone Exchange, Brook Street, Nottingham, 1978	&amp;lt;p&amp;gt;Close-up of an Enquiry (&amp;amp;#39;700&amp;amp;#39; series) operating position in the Archer GPO telephone exchange. This exchange was built in 1956 and became operative 23 July 1958.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;The lower three strips are for incoming calls, the upper three are for dialing out. The upper strip on the right are direct lines to automatic exchanges under the control of Castle and Archer and can only be used during the engineers normal working hours when they are in attendance. Key-senders have replaced the dials on the &amp;amp;#39;700&amp;amp;#39; suite. &amp;lt;br /&amp;gt;The bin of cards between the positions show every name, number and its type of line (single, shared-service; private branch exchange (PBX) and exclusive GPO lines) on every automatic exchange under the control of Archer.&amp;lt;/p&amp;gt;	7 May 1978	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	telephone exchange office equipment desks work GPO switchboard general post office communication filing switches interior boxes	Workers Work_and_Industry Companies_and_Businesses Offices Buildings_and_Structures 
NTGM015797	74956	SK5740	nottingham,shakespeare,street	52.95758699	-1.150651574	Nottingham	Shakespeare Street	Former City Fire Service HQ, Shakespeare Street, Nottingham, 1986		September 1986	18_The_1980s	Best, S J				Yes	S J Best	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	building fire station emergency service detail stone carving figure man helmet hose uniform door pilaster keystones fighter	 Emergency_Services Buildings_and_Structures 
NTGM015798	12855	SK5740	nottingham,shakespeare,street	52.95758699	-1.150651574	Nottingham	Shakespeare Street	Former City Fire Service HQ, Shakespeare Street, Nottingham, 1958	Photographed from Reference Library stack window, South Sherwood Street.	July 1958	15_The_1950s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	building fire station emergency service stone pilaster column road street pavement car automobile motor vehicle figure casement windows pole aerial tower entrance doorway fence flat roof parapet flag pole shop retail commercial facade fascia front window sign pediment rusticated	 Emergency_Services Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Motor_Vehicles Transport_and_Communication Shops_Banks_and_Commercial 
NTGM015799	95519	SK5740	nottingham,shakespeare,street	52.95758699	-1.150651574	Nottingham	Shakespeare Street	Central Fire Station, Shakespeare Street, Nottingham, 2000		July 2000	20_2000_Onwards	Kingscott, Judy				Yes	Judy Kingscott	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	building fire station emergency service stone road street pavement car automobile motor vehicle figure casement windows pole aerial entrance flat roof parapet flag pole engine forecourt figure badge	 Emergency_Services Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Motor_Vehicles Transport_and_Communication 
NTGM015814	GN47	SK5740	nottingham,burton,street	52.956221	-1.150427	Nottingham	Burton Street	Newton Building, Burton Street, Nottingham, c 2000s	&amp;lt;p&amp;gt;Part of Nottingham Trent University.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;Designed by architect T Cecil Howitt, planned in 1952, built 1956-58. &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;amp;nbsp; &amp;lt;/p&amp;gt;	early 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	university Nottingham trent building road street pavement junction corner shoppers pedestrians fashion figure man traffic light railing pillar post mail box imposing modern square aerial	 Schools_Colleges_and_Universities  Buildings_and_Structures  Streetscene  Natural_World_Landscape_and_Views 
NTGM015815	GN82	SK5740	nottingham,canning,circus	52.95602	-1.16325	Nottingham	Canning Circus	Canning Circus, Nottingham, c 2000s	&amp;lt;p&amp;gt;The operation of a one-way traffic system up Derby Road was capped with a pleasant oasis at Canning Circus.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;Looking east towards the city centre.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;The Ben Bowers clock can be seen to the right of the picture. The bow fronted building was built in 1877 with a mixture of architectural styles. It has a dutch style gable with Mansard roof, polished stone pilasters topped with ornate capitals and stained glass leaded windows on the ground floor, and classical segmental and pedimental arches above the 1st storey windows. It was formerly occupied by Boots.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd. &amp;lt;/p&amp;gt;	early 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	building road street pavement junction corner motor bike vehicle cycle bushes trees clock facade chimney stack pot	Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Clocks_and_Clock_Towers Buildings_and_Structures Shops_Banks_and_Commercial Motor_Vehicles Transport_and_Communication 
NTGM015840	GN78	SK5740	nottingham,glasshouse,street	52.95543149	-1.144836545	Nottingham	Glasshouse Street	Offices on Glasshouse Street, Nottingham, c 2000s	&amp;lt;p&amp;gt;The Central Market on King Edward Street was built in 1926 to replace the market in the centuries old Market Place. When the Victoria Centre was built in the 1970s, provision for an indoor market was included. The old market was demolished and the site used to build new buildings such as these offices on Glasshouse Street. &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	building offices modern brick pedestrian crossing railings bay windows casement gable slate tiled roof lamppost	 Buildings_and_Structures Offices Streetscene Natural_World_Landscape_and_Views
NTGM015851	GN108	SK5740	nottingham,mansfield,road	52.95763224	-1.148838401	Nottingham	Mansfield Road	House of Fraser Department Store, Mansfield Road, Nottingham, c 2000s	Built as an extension to the Victoria Centre in late 1990s at the junction with Union Road.&amp;lt;br /&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c early 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	building modern department store shop commerce national business sign windows fascia frontage dome arched stone sash windows lintel glass doorway entrance pavement kerb taxi cab vehicle shoppers lamppost Georgian public house	 Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views  Shops_Banks_and_Commercial  Companies_and_Businesses  Work_and_Industry  Commerce  Motor_Vehicles  Transport_and_Communication 
NTGM015853	GN56	SK5740	nottingham,mansfield,road	52.95753529	-1.148757935	Nottingham	Mansfield Road - Peachey Street	Voluntary Action Centre, Mansfield Road, Nottingham, c 2000s	&amp;lt;p&amp;gt;Built during the redevelopment of Mansfield Road in the 1960s on the site of a former cinema, this building was the Midland Design Centre, later Sandfield House and for a time was the overflow for Magistrates Courts.&amp;amp;nbsp; It has since undergone a face lift to become the VAC.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c early-to-mid 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	building modern fascia offices action centre signs notice railings street road junction rendered design brick	 Buildings_and_Structures Offices 
NTGM015854	GN57	SK5740	nottingham,mansfield,road	52.95828824	-1.149101257	Nottingham	Mansfield Road	York House, Mansfield Road, Nottingham, c mid 2000s	&amp;lt;p&amp;gt;York House was built by the City Council and provided offices for some of its staff as well as studios for the BBC who relocated to the London Road Island when that was developed c 2005. York House is used by Nottingham Trent University. &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c mid 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	building modern fascia offices university trent high-rise signs notice street road design brick car vehicle 	 Buildings_and_Structures Offices  Streetscene  Natural_World_Landscape_and_Views  Schools_Colleges_and_Universities 
NTGM015855	GN80	SK5740	nottingham,middle,pavement	52.951487	-1.146555841	Nottingham	Middle Pavement	'Whistles', Middle Pavement, Nottingham, c mid 2000s	&amp;lt;p&amp;gt;New building on Middle Pavement which is sandwiched between two existing units. The architects have attempted to match their Georgian facades. See NTGM000881 for a view in 1979. This record states that St. Mary&amp;amp;#39;s Gate Theatre was originally on this site. &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c mid 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	building modern fascia shops modern brick oriel arched skylight rusticated stone quoins clothes fashion sash windows	 Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views  Shops_Banks_and_Commercial 
NTGM015858	GN88	SK5740	nottingham,parliament,street	52.95503076	-1.141505241	Nottingham	Huntingdon Street	Former GPO Sorting Office, Huntingdon Street, Nottingham, c 2000s	This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	post office GPO modern offices railing post letterbox doorway entrance car vehicle road concrete block	 Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Postal_Services  Transport_and_Communication  Offices 
NTGM015860	GN20	SK5740	nottingham,parliament,street	52.95447812	-1.150005162	Nottingham	Queen Street	Former Elite Cinema, Queen Street, Nottingham, c 2000s	&amp;lt;p&amp;gt;Looking north towards Upper Parliament Street.&amp;amp;nbsp;&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;The former Elite Cinema was built in 1921 to a design by London architects, Adamson and Kinns. Its impressive exterior of glazed terracotta with niches containing emblematic figures was complimented internally nu a foyer, lifts, cafes and restaurants, one of which could be converted to a ballroom. It ceased as a cinema in 1977, followed by a period as a bingo hall. It is currently home to the &amp;amp;#39;Gatecrasher&amp;amp;#39; family of nightclubs and they have kept a lot of the original interior decor. &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c early-to-mid 2000s	19_The_1990s	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	road cars vehicles finial architecture stone white arched carved emblems classic facade 	 Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Cafes_and_Restaurants  Entertainment_and_Sports 
NTGM015861	GN16	SK5740	nottingham,parliament,street	52.95473548	-1.153424978	Nottingham	Upper Parliament Street	Co-Operative Society Department Store, Upper Parliament Street, Nottingham, c 2002	Built in 1916. Closed in 2002 and has been redeveloped into a mixed-use of restaurants and a casino.&amp;lt;br /&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2002	19_The_1990s	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	road cars vehicles finial architecture stone arched carved emblems classic facade dome windows fascia facade lamppost shop department store traffic lights	 Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Shops_Banks_and_Commercial 
NTGM015862	GN11	SK5740	nottingham,parliament,street	52.95477222	-1.153156757	Nottingham	Upper Parliament Street	Westminster Buildings, Upper Parliament Street, Nottingham, c 2000s	At the junction with Wollaton Street just off Theatre Square, this block is now known as Westminster Buildings.&amp;lt;br /&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	road cars vehicles finial architecture stone arched carved classic facade dormer sash windows fascia facade lamppost shop tree bay windows stone rusticated	 Buildings_and_Structures Streetscene Offices Natural_World_Landscape_and_Views Shops_Banks_and_Commercial 
NTGM015863	GN4	SK5740	nottingham,lower,parliament,street	52.95528283	-1.145796776	Nottingham	Upper Parliament Street	Argos Superstore, Parliament Street, Nottingham, c 2000s	Opposite end of George Street and was originally occupied by a motor car firm and was later called Lombard House.&amp;lt;br /&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	road cars vehicles finial architecture stone pediment carved classic facade dormer sash windows fascia facade lamppost shop tree bay windows stone rusticated sign people traffic bin	 Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Shops_Banks_and_Commercial 
NTGM015868	GN42	SK5740	nottingham,north,sherwood,street	52.9577001	-1.151263118	Nottingham	Shakespeare Street - North Sherwood Street	Y.W.C.A., Shakespeare Street, Nottingham, c 2000s	&amp;lt;p&amp;gt;Built in 1936, this building was the hostel for the Y.W.C.A; it now provides student accommodation for Nottingham Trent University.  &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	YWCA young women's christian association brick student university people signs tree quoins rusticated stone decorative arched window traffic lights road	 Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Schools_Colleges_and_Universities  Hotels_inns_and_public_houses  Religious_Buildings 
NTGM015869	GN120	SK5740	nottingham,north,sherwood,street	52.95647209	-1.151118279	Nottingham	South Sherwood Street	T.G.I. Friday's, South Sherwood Street, Nottingham, c 2000s	&amp;lt;p&amp;gt;Part of the Cornerhouse retail and leisure facility, TGI Friday&amp;amp;#39;s opened ahead of the completion of the rest of the block in December 2000. The Cornerhouse was built on the site of the former Nottingham Evening Post offices. &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	restaurant new development modern glass-fronted fascia door entrance American food sign	 Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Cafes_and_Restaurants 
NTGM015870	GN100	SK5740	nottingham,north,sherwood,street	52.956543	-1.1512172	Nottingham	South Sherwood Street	Royal Concert Hall, South Sherwood Street, Nottingham, c 2000s	&amp;lt;p&amp;gt;Built on the site of the former Empire Music Hall in the 1970s. &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	concert hall royal new development modern glass-fronted fascia door entrance pillars sign neon curved steps lamppost entertainment leisure 	 Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Entertainment_and_Sports 
NTGM015875	GN61	SK5740	nottingham,bath,street	52.95760315	-1.140110493	Nottingham	Bath Street Rest Garden	Victoria Centre Flats, Bath Street Rest Garden, Nottingham, c 2000s	&amp;lt;p&amp;gt;The Victoria Centre flats as seen from Bath Street rest garden.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	park tree flats landscape urban buildings multi-story tower block modern development rooftops cityscape 	 Buildings_and_Structures Housing Offices Cityscape  Natural_World_Landscape_and_Views  Parks_and_Gardens  Leisure_and_Recreation 
NTGM015882	GN109	SK5740	york,street,nottingham	52.9587665	-1.148658693	Nottingham	York Street	Victoria Bus Station, York Street, Nottingham, c 2000s	&amp;lt;p&amp;gt;The former bus station was demolished to extend the Victoria Cente shopping mall c 1997 and the new bus station was built on York Street. &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	bus station modern glass sloping transport bays brick	 Buses_and_Trams  Transport_and_Communication  Transport  Buildings_and_Structures 
NTGM015883	GN110	SK5740	york,street,nottingham	52.95860169	-1.148264408	Nottingham	York Street	Victoria Centre Car Park, York Street, Nottingham, c 2000s	&amp;lt;p&amp;gt;Built over the Victoria Train Station and lines. &amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	multi-story car park modern brick train railway lines hipped roof walkway	Transport Buildings_and_Structures Motor_Vehicles Transport_and_Communication 
NTGM015915	GN117	SK5740	nottingham,st,annes,ashforth,street	52.96187829	-1.144780219	Nottingham,_St_Anns	Ashforth Street	Bungalows, Ashforth Street, St Ann's, c 2000s	&amp;lt;p&amp;gt;An area of St Ann&amp;amp;#39;s between Woodborough Rod and Peas Hill Road had been left with existing industrial buildings. These had become something of a problem and have been demolished. This small group of bungalows has been built at the south end of Ashforth Street.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	housing development new bungalows residential road street pavement garden front fence lawn grass path entrance doorway porch wheelie bin rubbish	 Housing Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views 
NTGM015918	GN63	SK5740	nottingham,st,anns,shelton,street	52.959632	-1.144748	Nottingham,_St_Anns	Shelton Street	Light industry buildings, Shelton Street, St Ann's, c 2000s	&amp;lt;p&amp;gt;In the old St Ann&amp;amp;#39;s, industry and houses adjoined each other. Now, new segrated light industries are separated from houses.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	road street light industrial building unit new development tree fire escape steps brick graffiti casement window light	 Factories_and_Industrial Buildings_and_Structures 
NTGM015919	GN64	SK5740	nottingham,st,anns,shelton,street	52.959632	-1.144748	Nottingham,_St_Anns	Shelton Street	St Ann's Inn, Shelton Street, St Ann's, c 2000s	&amp;lt;p&amp;gt;Many of the St Ann&amp;amp;#39;s area public houses were demolished, some new ones were built using the former names.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	road street light public house hotel inn sign car automobile motor vehicle park gable tree entrance porch picnic bench seating area tables concrete bollard	 Hotels_inns_and_public_houses Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views Motor_Vehicles Transport_and_Communication 
NTGM015920	GN65	SK5740	nottingham,st,anns,shelton,street	52.959632	-1.144748	Nottingham,_St_Anns	Woodborough Road	Huntingdon Primary School, Woodborough Road, St Ann's, c 2000s	&amp;lt;p&amp;gt;During the St Ann&amp;amp;#39;s area redevelopment in the 1960s Victoria and Edwardian school buildings were demolished and replaced by smaller, lighter ones.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;amp;nbsp;&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	small light building redevelopment area school education trees modern 1960s grass bank	 Schools_Colleges_and_Universities Buildings_and_Structures 
NTGM015921	GN66	SK5740	nottingham,st,anns,well,road	52.95737048	-1.142272353	Nottingham,_St_Anns	St Ann's Well Road	Mosque, St Ann's Well Road, St Ann's, c 2000s	&amp;lt;p&amp;gt;Although some of the ethnic minorities in St Ann&amp;amp;#39;s had their own religious buildings, these were mainly converted from existing buildings. The mosque on St Ann&amp;amp;#39;s Well Road was a new building in its own style.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;This image appears in &amp;amp;#39;Greater Nottingham&amp;amp;#39; by Geoffrey Oldfield, published in 2006 by The Book Guild Ltd.&amp;lt;/p&amp;gt;	c 2000s	20_2000_Onwards	Oldfield, G				Yes	G Oldfield	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	religious building mosque new redevelopment fence dome decorative bollard sign gate road street pavement wall flat roof	 Religious_Buildings Buildings_and_Structures Streetscene Natural_World_Landscape_and_Views 
